ID,Counties,Major Incident
0,6,True
1,11,True
2,17,True
3,23,True
4,45,True
5,53,True
6,4,True
7,19,True
8,56,True
9,22,False
10,28,True
11,57,True
12,45,False
13,53,False
14,6,True
15,17,True
16,23,True
17,45,True
18,25,False
19,47,True
20,55,False
21,30,False
22,18,False
23,17,True
24,33,False
25,39,False
26,26,False
27,24,False
28,56,True
29,48,False
30,20,False
31,52,True
32,52,True
33,12,False
34,19,False
35,16,False
36,52,True
37,15,False
38,14,True
39,28,True
40,11,True
41,27,False
42,48,True
43,25,False
44,14,True
45,45,True
46,24,False
47,53,False
48,45,True
49,48,False
50,40,False
51,19,False
52,36,True
53,35,True
54,14,True
55,33,False
56,51,False
57,31,True
58,42,False
59,15,False
60,23,False
61,4,True
62,52,False
63,3,True
64,57,False
65,31,False
66,54,False
67,27,False
68,18,False
69,1,True
70,55,False
71,4,False
72,35,True
73,37,True
74,1,False
75,18,False
76,27,False
77,27,False
78,15,False
79,37,True
80,20,True
81,4,False
82,14,False
83,45,False
84,43,True
85,9,False
86,53,True
87,20,False
88,37,False
89,15,False
90,5,False
91,20,False
92,33,False
93,35,False
94,7,False
95,52,True
96,37,True
97,52,False
98,40,False
99,42,False
100,37,False
101,7,True
102,47,True
103,47,False
104,35,False
105,37,True
106,33,False
107,15,False
108,24,False
109,4,False
110,56,False
111,24,False
112,19,False
113,30,False
114,42,False
115,52,False
116,27,False
117,18,True
118,19,False
119,55,True
120,48,False
121,45,False
122,30,False
123,33,False
124,21,True
125,56,False
126,27,False
127,9,True
128,36,False
129,5,False
130,28,True
131,19,False
132,11,False
133,47,False
134,36,False
135,54,False
136,32,False
137,35,False
138,43,False
139,22,True
140,15,False
141,42,True
142,42,False
143,10,False
144,23,False
145,17,False
146,52,False
147,37,False
148,54,False
149,36,False
150,40,False
151,27,False
152,15,False
153,23,False
154,18,False
155,18,False
156,20,False
157,24,False
158,40,False
159,17,False
160,5,True
161,42,False
162,45,True
163,10,False
164,6,True
165,11,False
166,33,False
167,43,False
168,43,False
169,52,False
170,33,False
171,24,False
172,9,True
173,23,False
174,9,True
175,35,False
176,43,False
177,45,True
178,33,False
179,47,False
180,50,False
181,15,False
182,19,False
183,39,False
184,52,False
185,17,False
186,20,False
187,40,False
188,40,False
189,42,False
190,37,False
191,40,False
192,18,False
193,7,False
194,20,True
195,36,True
196,18,False
197,22,True
198,25,False
199,40,False
200,45,True
201,43,False
202,17,True
203,52,False
204,27,False
205,1,False
206,7,False
207,21,False
208,4,True
209,33,False
210,22,False
211,7,False
212,4,False
213,35,False
214,45,False
215,37,False
216,40,False
217,47,False
218,17,False
219,33,False
220,23,False
221,33,False
222,45,False
223,35,False
224,15,False
225,1,False
226,54,False
227,4,True
228,52,False
229,36,False
230,54,False
231,10,False
232,33,False
233,18,False
234,17,False
235,45,False
236,43,False
237,7,False
238,1,False
239,33,False
240,40,False
241,34,False
242,10,False
243,37,False
244,47,False
245,54,False
246,33,False
247,7,False
248,40,False
249,17,True
250,33,False
251,7,False
252,52,False
253,22,False
254,33,False
255,7,False
256,1,False
257,43,False
258,1,False
259,33,False
260,4,False
261,19,False
262,32,False
263,37,False
264,33,False
265,44,True
266,3,False
267,33,False
268,29,False
269,12,False
270,43,False
271,47,False
272,25,False
273,33,False
274,33,True
275,37,False
276,40,False
277,18,False
278,57,False
279,45,False
280,37,True
281,10,False
282,45,False
283,9,True
284,36,False
285,20,False
286,21,False
287,37,False
288,47,False
289,40,False
290,28,False
291,1,False
292,37,False
293,4,False
294,20,False
295,33,False
296,45,False
297,44,False
298,12,False
299,4,False
300,33,False
301,28,False
302,47,False
303,37,False
304,4,False
305,40,False
306,27,False
307,49,False
308,37,False
309,52,False
310,33,False
311,33,False
312,4,True
313,12,False
314,42,True
315,56,True
316,56,False
317,22,False
318,33,True
319,52,False
320,33,True
321,31,False
322,27,False
323,40,False
324,22,False
325,10,False
326,18,False
327,33,False
328,7,False
329,37,True
330,1,False
331,50,False
332,45,False
333,5,False
334,36,False
335,37,True
336,9,False
337,1,False
338,7,False
339,33,False
340,23,False
341,44,False
342,49,True
343,32,False
344,25,False
345,14,True
346,56,True
347,52,True
348,19,True
349,25,False
350,22,True
351,52,False
352,26,False
353,19,True
354,9,False
355,18,False
356,42,False
357,27,False
358,52,True
359,57,True
360,15,False
361,18,False
362,50,False
363,14,False
364,33,True
365,47,False
366,40,False
367,62,False
368,51,False
369,61,False
370,59,False
371,40,False
372,18,False
373,40,False
374,40,False
375,7,False
376,54,False
377,19,False
378,23,False
379,31,False
380,45,True
381,50,False
382,28,False
383,33,False
384,33,True
385,4,True
386,37,False
387,15,False
388,22,False
389,42,False
390,54,False
391,33,True
392,33,False
393,27,False
394,4,False
395,39,False
396,53,False
397,27,False
398,56,False
399,18,False
400,18,False
401,54,False
402,33,False
403,53,False
404,22,False
405,1,False
406,47,False
407,23,True
408,40,True
409,33,False
410,20,False
411,24,False
412,43,False
413,15,False
414,47,False
415,50,False
416,36,False
417,7,False
418,56,False
419,37,True
420,42,False
421,18,False
422,50,False
423,27,False
424,48,False
425,15,False
426,33,False
427,35,False
428,16,False
429,45,True
430,19,False
431,36,False
432,54,False
433,7,False
434,37,False
435,31,False
436,36,False
437,43,False
438,48,False
439,1,False
440,18,False
441,56,False
442,18,False
443,23,False
444,33,False
445,43,False
446,25,False
447,10,False
448,37,True
449,40,False
450,15,False
451,19,False
452,25,False
453,42,False
454,37,False
455,33,False
456,37,True
457,33,False
458,40,False
459,33,False
460,56,False
461,47,False
462,39,False
463,45,False
464,9,True
465,34,False
466,55,False
467,47,False
468,48,False
469,36,False
470,33,False
471,4,False
472,33,False
473,37,False
474,43,False
475,33,False
476,58,False
477,58,False
478,17,False
479,43,False
480,58,False
481,52,False
482,21,False
483,5,False
484,27,False
485,31,False
486,28,False
487,11,False
488,52,False
489,41,False
490,43,False
491,4,False
492,7,False
493,18,False
494,33,False
495,17,False
496,40,False
497,37,False
498,37,False
499,7,False
500,34,False
501,28,False
502,4,True
503,43,False
504,54,False
505,45,False
506,52,False
507,33,False
508,39,False
509,27,False
510,19,False
511,45,False
512,58,False
513,43,False
514,9,False
515,47,False
516,43,False
517,33,False
518,33,False
519,57,False
520,54,False
521,40,False
522,48,False
523,45,False
524,45,False
525,1,False
526,33,False
527,12,False
528,43,False
529,15,False
530,17,True
531,37,False
532,31,False
533,33,False
534,17,False
535,10,False
536,62,False
537,37,False
538,1,False
539,54,False
540,7,False
541,48,False
542,7,False
543,37,False
544,55,False
545,6,True
546,33,False
547,17,False
548,33,False
549,33,False
550,33,False
551,33,False
552,1,False
553,50,False
554,35,False
555,43,False
556,4,False
557,47,False
558,45,False
559,9,False
560,47,False
561,36,False
562,37,False
563,9,False
564,1,False
565,4,False
566,36,False
567,52,False
568,50,False
569,1,False
570,37,False
571,52,False
572,3,True
573,33,False
574,4,False
575,47,False
576,4,False
577,33,False
578,29,False
